order,case,class_name,filename,cached_target_confidence,fresh_target_confidence,occlusion_baseline_confidence,max_single_occlusion_drop,mean_positive_occlusion_drop,top25_score_retained,random25_score_retained,top25_better_than_random,occlusion_mass_in_target,occlusion_pointing_game,eigencam_mass_in_target,eigencam_pointing_game
1,true_positive,smoke,WEB06295.jpg,0.893332839012146,0.893390953540802,0.893390953540802,0.9988803267478943,0.06668458878993988,0.003323480256311908,0.7192082049219631,True,0.1531487224794906,False,0.1711034228630156,False
2,true_positive,fire,WEB03832.jpg,0.8411843180656433,0.8411519527435303,0.8411519527435303,0.9345554113388062,0.04169128090143204,0.07190329469108546,0.79340376913913,True,0.9840966232458285,True,0.05550906025811104,False
3,negative_false_alarm,smoke,WEB00156.jpg,0.6454777121543884,0.6457515358924866,0.6457515358924866,0.8555344939231873,0.09074704349040985,0.0,0.4341511501387473,True,0.4377099686221592,False,0.035129088556210504,False
4,negative_false_alarm,fire,WEB02251.jpg,0.5172184705734253,0.5179281830787659,0.5179281830787659,1.0,0.23012876510620117,0.0,0.3384246803023957,True,0.7363685339245568,True,0.07211177812540659,False
5,borderline_false_negative,smoke,WEB05832.jpg,0.3574763834476471,0.35749512910842896,0.35749512910842896,0.9840694069862366,0.0719333365559578,0.12708345039067,1.4600250959814585,True,0.9866370147225493,True,0.8191104163717603,True
6,borderline_false_negative,fire,WEB05014.jpg,0.15959157049655914,0.1587335169315338,0.1587335169315338,0.5468858480453491,0.09069743007421494,0.3434328245978897,2.148812573304898,True,0.16749398478391844,False,0.01265162226402656,False
